Car;MPG;Cylinders;Displacement;Horsepower;Weight;Acceleration;Model;Origin
Ford Galaxie 500;14.0;8;351.0;153.0;4129.;13.0;72;US
AMC Ambassador SST;17.0;8;304.0;150.0;3672.;11.5;72;US
Mercury Marquis;11.0;8;429.0;208.0;4633.;11.0;72;US
Buick LeSabre Custom;13.0;8;350.0;155.0;4502.;13.5;72;US
Oldsmobile Delta 88 Royale;12.0;8;350.0;160.0;4456.;13.5;72;US
Chrysler Newport Royal;13.0;8;400.0;190.0;4422.;12.5;72;US
Mazda RX2 Coupe;19.0;3;70.00;97.00;2330.;13.5;72;Japan
AMC Matador (sw);15.0;8;304.0;150.0;3892.;12.5;72;US
Chevrolet Chevelle Concours (sw);13.0;8;307.0;130.0;4098.;14.0;72;US
Ford Gran Torino (sw);13.0;8;302.0;140.0;4294.;16.0;72;US
Plymouth Satellite Custom (sw);14.0;8;318.0;150.0;4077.;14.0;72;US
Volvo 145e (sw);18.0;4;121.0;112.0;2933.;14.5;72;Europe
Volkswagen 411 (sw);22.0;4;121.0;76.00;2511.;18.0;72;Europe
Peugeot 504 (sw);21.0;4;120.0;87.00;2979.;19.5;72;Europe
Renault 12 (sw);26.0;4;96.00;69.00;2189.;18.0;72;Europe
Ford Pinto (sw);22.0;4;122.0;86.00;2395.;16.0;72;US
Datsun 510 (sw);28.0;4;97.00;92.00;2288.;17.0;72;Japan
Toyota Corolla Mark II (sw);23.0;4;120.0;97.00;2506.;14.5;72;Japan
Dodge Colt (sw);28.0;4;98.00;80.00;2164.;15.0;72;US
Toyota Corolla 1600 (sw);27.0;4;97.00;88.00;2100.;16.5;72;Japan
Buick Century 350;13.0;8;350.0;175.0;4100.;13.0;73;US
AMC Matador;14.0;8;304.0;150.0;3672.;11.5;73;US
Chevrolet Malibu;13.0;8;350.0;145.0;3988.;13.0;73;US
Ford Gran Torino;14.0;8;302.0;137.0;4042.;14.5;73;US
Dodge Coronet Custom;15.0;8;318.0;150.0;3777.;12.5;73;US
Mercury Marquis Brougham;12.0;8;429.0;198.0;4952.;11.5;73;US
Chevrolet Caprice Classic;13.0;8;400.0;150.0;4464.;12.0;73;US
Ford LTD;13.0;8;351.0;158.0;4363.;13.0;73;US
Plymouth Fury Gran Sedan;14.0;8;318.0;150.0;4237.;14.5;73;US
Chrysler New Yorker Brougham;13.0;8;440.0;215.0;4735.;11.0;73;US
Buick Electra 225 Custom;12.0;8;455.0;225.0;4951.;11.0;73;US
AMC Ambassador Brougham;13.0;8;360.0;175.0;3821.;11.0;73;US
Plymouth Valiant;18.0;6;225.0;105.0;3121.;16.5;73;US
Chevrolet Nova Custom;16.0;6;250.0;100.0;3278.;18.0;73;US
AMC Hornet;18.0;6;232.0;100.0;2945.;16.0;73;US
Ford Maverick;18.0;6;250.0;88.00;3021.;16.5;73;US
Plymouth Duster;23.0;6;198.0;95.00;2904.;16.0;73;US
Volkswagen Super Beetle;26.0;4;97.00;46.00;1950.;21.0;73;Europe
Chevrolet Impala;11.0;8;400.0;150.0;4997.;14.0;73;US
Ford Country;12.0;8;400.0;167.0;4906.;12.5;73;US
Plymouth Custom Suburb;13.0;8;360.0;170.0;4654.;13.0;73;US
Oldsmobile Vista Cruiser;12.0;8;350.0;180.0;4499.;12.5;73;US
AMC Gremlin;18.0;6;232.0;100.0;2789.;15.0;73;US
Toyota Camry;20.0;4;97.00;88.00;2279.;19.0;73;Japan
Chevrolet Vega;21.0;4;140.0;72.00;2401.;19.5;73;US
Datsun 610;22.0;4;108.0;94.00;2379.;16.5;73;Japan
Mazda RX3;18.0;3;70.00;90.00;2124.;13.5;73;Japan
Ford Pinto;19.0;4;122.0;85.00;2310.;18.5;73;US
Mercury Capri v6;21.0;6;155.0;107.0;2472.;14.0;73;US
Fiat 124 Sport Coupe;26.0;4;98.00;90.00;2265.;15.5;73;Europe
Chevrolet Monte Carlo S;15.0;8;350.0;145.0;4082.;13.0;73;US
Pontiac Grand Prix;16.0;8;400.0;230.0;4278.;9.50;73;US
Fiat 128;29.0;4;68.00;49.00;1867.;19.5;73;Europe
Opel Manta;24.0;4;116.0;75.00;2158.;15.5;73;Europe
Audi 100LS;20.0;4;114.0;91.00;2582.;14.0;73;Europe
Volvo 144ea;19.0;4;121.0;112.0;2868.;15.5;73;Europe
Dodge Dart Custom;15.0;8;318.0;150.0;3399.;11.0;73;US
Saab 99le;24.0;4;121.0;110.0;2660.;14.0;73;Europe
Toyota Mark II;20.0;6;156.0;122.0;2807.;13.5;73;Japan
Oldsmobile Omega;11.0;8;350.0;180.0;3664.;11.0;73;US
Plymouth Duster;20.0;6;198.0;95.00;3102.;16.5;74;US
Ford Maverick;21.0;6;200.0;0;2875.;17.0;74;US
AMC Hornet;19.0;6;232.0;100.0;2901.;16.0;74;US
Chevrolet Nova;15.0;6;250.0;100.0;3336.;17.0;74;US
Datsun B210;31.0;4;79.00;67.00;1950.;19.0;74;Japan
Ford Pinto;26.0;4;122.0;80.00;2451.;16.5;74;US
Toyota Corolla 1200;32.0;4;71.00;65.00;1836.;21.0;74;Japan
Chevrolet Vega;25.0;4;140.0;75.00;2542.;17.0;74;US
Chevrolet Chevelle Malibu Classic;16.0;6;250.0;100.0;3781.;17.0;74;US
AMC Matador;16.0;6;258.0;110.0;3632.;18.0;74;US
Plymouth Satellite Sebring;18.0;6;225.0;105.0;3613.;16.5;74;US
Ford Gran Torino;16.0;8;302.0;140.0;4141.;14.0;74;US
Buick Century Luxus (sw);13.0;8;350.0;150.0;4699.;14.5;74;US
Dodge Coronet Custom (sw);14.0;8;318.0;150.0;4457.;13.5;74;US
Ford Gran Torino (sw);14.0;8;302.0;140.0;4638.;16.0;74;US
AMC Matador (sw);14.0;8;304.0;150.0;4257.;15.5;74;US
Audi Fox;29.0;4;98.00;83.00;2219.;16.5;74;Europe
Volkswagen Dasher;26.0;4;79.00;67.00;1963.;15.5;74;Europe
Opel Manta;26.0;4;97.00;78.00;2300.;14.5;74;Europe
Toyota Corolla;31.0;4;76.00;52.00;1649.;16.5;74;Japan
Datsun 710;32.0;4;83.00;61.00;2003.;19.0;74;Japan
Dodge Colt;28.0;4;90.00;75.00;2125.;14.5;74;US
Fiat 128;24.0;4;90.00;75.00;2108.;15.5;74;Europe
Fiat 124 TC;26.0;4;116.0;75.00;2246.;14.0;74;Europe
Honda Civic;24.0;4;120.0;97.00;2489.;15.0;74;Japan
Subaru;26.0;4;108.0;93.00;2391.;15.5;74;Japan
Fiat x1.9;31.0;4;79.00;67.00;2000.;16.0;74;Europe
Plymouth Valiant Custom;19.0;6;225.0;95.00;3264.;16.0;75;US
Chevrolet Nova;18.0;6;250.0;105.0;3459.;16.0;75;US
Mercury Monarch;15.0;6;250.0;72.00;3432.;21.0;75;US
Ford Maverick;15.0;6;250.0;72.00;3158.;19.5;75;US
Pontiac Catalina;16.0;8;400.0;170.0;4668.;11.5;75;US
Chevrolet Bel Air;15.0;8;350.0;145.0;4440.;14.0;75;US
Plymouth Grand Fury;16.0;8;318.0;150.0;4498.;14.5;75;US
Ford LTD;14.0;8;351.0;148.0;4657.;13.5;75;US
Buick Century;17.0;6;231.0;110.0;3907.;21.0;75;US
Chevrolete Chevelle Malibu;16.0;6;250.0;105.0;3897.;18.5;75;US
AMC Matador;15.0;6;258.0;110.0;3730.;19.0;75;US
Plymouth Fury;18.0;6;225.0;95.00;3785.;19.0;75;US
Buick Skyhawk;21.0;6;231.0;110.0;3039.;15.0;75;US
Chevrolet Monza 2+2;20.0;8;262.0;110.0;3221.;13.5;75;US
Ford Mustang II;13.0;8;302.0;129.0;3169.;12.0;75;US
Toyota Corolla;29.0;4;97.00;75.00;2171.;16.0;75;Japan
Ford Pinto;23.0;4;140.0;83.00;2639.;17.0;75;US
AMC Gremlin;20.0;6;232.0;100.0;2914.;16.0;75;US
Pontiac Astro;23.0;4;140.0;78.00;2592.;18.5;75;US
Toyota Corolla;24.0;4;134.0;96.00;2702.;13.5;75;Japan
Volkswagen Dasher;25.0;4;90.00;71.00;2223.;16.5;75;Europe
Datsun 710;24.0;4;119.0;97.00;2545.;17.0;75;Japan
Ford Pinto;18.0;6;171.0;97.00;2984.;14.5;75;US
Volkswagen Rabbit;29.0;4;90.00;70.00;1937.;14.0;75;Europe
AMC Pacer;19.0;6;232.0;90.00;3211.;17.0;75;US
Audi 100LS;23.0;4;115.0;95.00;2694.;15.0;75;Europe
Peugeot 504;23.0;4;120.0;88.00;2957.;17.0;75;Europe
Volvo 244DL;22.0;4;121.0;98.00;2945.;14.5;75;Europe
Saab 99LE;25.0;4;121.0;115.0;2671.;13.5;75;Europe
Honda Civic CVCC;33.0;4;91.00;53.00;1795.;17.5;75;Japan
Fiat 131;28.0;4;107.0;86.00;2464.;15.5;76;Europe
Opel 1900;25.0;4;116.0;81.00;2220.;16.9;76;Europe
Capri ii;25.0;4;140.0;92.00;2572.;14.9;76;US
Dodge Colt;26.0;4;98.00;79.00;2255.;17.7;76;US
Renault 12tl;27.0;4;101.0;83.00;2202.;15.3;76;Europe
Chevrolet Chevelle Malibu Classic;17.5;8;305.0;140.0;4215.;13.0;76;US
Dodge Coronet Brougham;16.0;8;318.0;150.0;4190.;13.0;76;US
AMC Matador;15.5;8;304.0;120.0;3962.;13.9;76;US
Ford Gran Torino;14.5;8;351.0;152.0;4215.;12.8;76;US
